"Year","Ethnicity","Sex","Cause_of_Death","Count","Percent"
"2011","",,"PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","5","0"
"2011","",,"SEPTICEMIA","15","1"
"2011","",,"SHORT GESTATION/LBW","5","0"
"2011","",,"TUBERCULOSIS","10","1"
"2011","",,"VIRAL HEPATITIS","16","1"
"2011","",,"ACCIDENTS EXCEPT DRUG POISONING","52","1"
"2011","",,"ALZHEIMERS DISEASE","90","2"
"2011","",,"AORTIC ANEURYSM AND DISSECTION","12","0"
"2011","",,"ASSAULT (HOMICIDE)","20","0"
"2011","",,"ATHEROSCLEROSIS","15","0"
"2011","",,"BENIGN AND UNCERTAIN NEOPLASMS","17","0"
"2011","",,"CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD","8","0"
"2011","",,"CEREBROVASCULAR DISEASE","179","4"
"2011","",,"CHRONIC LIVER DISEASE AND CIRRHOSIS","39","1"
"2011","",,"CHRONIC LOWER RESPIRATORY DISEASES","156","3"
"2011","",,"CONGENITAL MALFORMATIONS,DEFORMATIONS","21","0"
"2011","",,"DIABETES MELLITUS","196","4"
"2011","",,"DISEASES OF HEART","1348","30"
"2011","",,"ESSENTIAL HYPERTENSION AND RENAL DISEASES","83","2"
"2011","",,"HUMAN IMMUNODEFICIENCY VIRUS DISEASE","70","2"
"2011","",,"INFLUENZA AND PNEUMONIA","218","5"
"2011","",,"INTENTIONAL SELF-HARM (SUICIDE)","21","0"
"2011","",,"MALIGNANT NEOPLASMS","1085","24"
"2011","",,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","42","1"
"2011","",,"PARKINSONS DISEASE","16","0"
"2011","",,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM","12","0"
"2011","",,"PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","56","1"
"2011","",,"SEPTICEMIA","42","1"
"2011","",,"SHORT GESTATION/LBW","16","0"
"2011","",,"VIRAL HEPATITIS","39","1"
"2011","",,"ACCIDENTS EXCEPT DRUG POISONING","180","4"
"2011","",,"ALZHEIMERS DISEASE","38","1"
"2011","",,"ANEMIAS","10","0"
"2011","",,"AORTIC ANEURYSM AND DISSECTION","20","0"
"2011","",,"ASSAULT (HOMICIDE)","115","2"
"2011","",,"BENIGN AND UNCERTAIN NEOPLASMS","18","0"
"2011","",,"CEREBROVASCULAR DISEASE","147","3"
"2011","",,"CHRONIC LIVER DISEASE AND CIRRHOSIS","167","3"
"2011","",,"CHRONIC LOWER RESPIRATORY DISEASES","124","3"
"2011","",,"CONGENITAL MALFORMATIONS,DEFORMATIONS","37","1"
"2011","",,"DIABETES MELLITUS","200","4"
"2011","",,"DISEASES OF HEART","1201","25"
"2011","",,"ESSENTIAL HYPERTENSION AND RENAL DISEASES","69","1"
"2011","",,"HUMAN IMMUNODEFICIENCY VIRUS DISEASE","162","3"
"2011","",,"INFLUENZA AND PNEUMONIA","209","4"
"2011","",,"INTENTIONAL SELF-HARM (SUICIDE)","93","2"
"2011","",,"MALIGNANT NEOPLASMS","1144","23"
"2011","",,"MENTAL DISORDERS DUE TO USE OF ALCOHOL","48","1"
"2011","",,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","44","1"
"2011","",,"PARKINSONS DISEASE","21","0"
"2011","",,"PEPTIC ULCER","9","0"
"2011","",,"PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","145","3"
"2011","",,"SEPTICEMIA","40","1"
"2011","",,"SHORT GESTATION/LBW","12","0"
"2011","",,"VIRAL HEPATITIS","105","2"
"2011","-",,"ACCIDENTS EXCEPT DRUG POISONING","76","1"
"2011","-",,"ALZHEIMERS DISEASE","90","1"
"2011","-",,"ANEMIAS","13","0"
"2011","-",,"AORTIC ANEURYSM AND DISSECTION","19","0"
"2011","-",,"ASSAULT (HOMICIDE)","52","1"
"2011","-",,"ATHEROSCLEROSIS","20","0"
"2011","-",,"BENIGN AND UNCERTAIN NEOPLASMS","41","1"
"2011","-",,"CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD","16","0"
"2011","-",,"CEREBROVASCULAR DISEASE","281","4"
"2011","-",,"CHRONIC LIVER DISEASE AND CIRRHOSIS","39","1"
"2011","-",,"CHRONIC LOWER RESPIRATORY DISEASES","221","3"
"2011","-",,"CONGENITAL MALFORMATIONS,DEFORMATIONS","29","0"
"2011","-",,"DIABETES MELLITUS","410","6"
"2011","-",,"DISEASES OF HEART","2243","30"
"2011","-",,"ESSENTIAL HYPERTENSION AND RENAL DISEASES","225","3"
"2011","-",,"HUMAN IMMUNODEFICIENCY VIRUS DISEASE","144","2"
"2011","-",,"INFLUENZA AND PNEUMONIA","273","4"
"2011","-",,"MALIGNANT NEOPLASMS","1918","26"
"2011","-",,"MENTAL DISORDERS DUE TO USE OF ALCOHOL","17","0"
"2011","-",,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","83","1"
"2011","-",,"PEPTIC ULCER","22","0"
"2011","-",,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM","13","0"
"2011","-",,"PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","65","1"
"2011","-",,"SEPTICEMIA","52","1"
"2011","-",,"SHORT GESTATION/LBW","27","0"
"2011","-",,"VIRAL HEPATITIS","33","0"
"2011","-",,"ACCIDENTS EXCEPT DRUG POISONING","133","2"
"2011","-",,"ALZHEIMERS DISEASE","39","1"
"2011","-",,"ANEMIAS","24","0"
"2011","-",,"AORTIC ANEURYSM AND DISSECTION","29","0"
"2011","-",,"ASSAULT (HOMICIDE)","266","4"
"2011","-",,"ATHEROSCLEROSIS","15","0"
"2011","-",,"BENIGN AND UNCERTAIN NEOPLASMS","16","0"
"2011","-",,"CEREBROVASCULAR DISEASE","200","3"
"2011","-",,"CHRONIC LIVER DISEASE AND CIRRHOSIS","66","1"
"2011","-",,"CHRONIC LOWER RESPIRATORY DISEASES","200","3"
"2011","-",,"CONGENITAL MALFORMATIONS,DEFORMATIONS","31","0"
"2011","-",,"DIABETES MELLITUS","307","5"
"2011","-",,"DISEASES OF HEART","1840","28"
"2011","-",,"ESSENTIAL HYPERTENSION AND RENAL DISEASES","154","2"
"2011","-",,"HUMAN IMMUNODEFICIENCY VIRUS DISEASE","277","4"
"2011","-",,"INFLUENZA AND PNEUMONIA","243","4"
"2011","-",,"INTENTIONAL SELF-HARM (SUICIDE)","53","1"
"2011","-",,"MALIGNANT NEOPLASMS","1590","24"
"2011","-",,"MENTAL DISORDERS DUE TO USE OF ALCOHOL","45","1"
"2011","-",,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","76","1"
"2011","-",,"PEPTIC ULCER","18","0"
"2011","-",,"PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","135","2"
"2011","-",,"SEPTICEMIA","54","1"
"2011","-",,"SHORT GESTATION/LBW","17","0"
"2011","-",,"VIRAL HEPATITIS","56","1"
"2011","-",,"ACCIDENTS EXCEPT DRUG POISONING","184","1"
"2011","-",,"ALZHEIMERS DISEASE","231","2"
"2011","-",,"ANEMIAS","15","0"
"2011","-",,"AORTIC ANEURYSM AND DISSECTION","27","0"
"2011","-",,"ASSAULT (HOMICIDE)","20","0"
"2011","-",,"ATHEROSCLEROSIS","58","0"
"2011","-",,"BENIGN AND UNCERTAIN NEOPLASMS","73","1"
"2011","-",,"CEREBROVASCULAR DISEASE","466","3"
"2011","-",,"CHOLELITHIASIS AND DISORDERS OF GALLBLADDER","15","0"
"2011","-",,"CHRONIC LIVER DISEASE AND CIRRHOSIS","79","1"
"2011","-",,"CHRONIC LOWER RESPIRATORY DISEASES","510","4"
"2011","-",,"CONGENITAL MALFORMATIONS,DEFORMATIONS","39","0"
"2011","-",,"DIABETES MELLITUS","253","2"
"2011","-",,"DISEASES OF HEART","5016","37"
"2011","-",,"ESSENTIAL HYPERTENSION AND RENAL DISEASES","199","1"
"2011","-",,"HUMAN IMMUNODEFICIENCY VIRUS DISEASE","19","0"
"2011","-",,"INFLUENZA AND PNEUMONIA","696","5"
"2011","-",,"INTENTIONAL SELF-HARM (SUICIDE)","68","1"
"2011","-",,"MALIGNANT NEOPLASMS","3373","25"
"2011","-",,"MENTAL DISORDERS DUE TO USE OF ALCOHOL","19","0"
"2011","-",,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","76","1"
"2011","-",,"PARKINSONS DISEASE","55","0"
"2011","-",,"PEPTIC ULCER","24","0"
"2011","-",,"PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","88","1"
"2011","-",,"SEPTICEMIA","86","1"
"2011","-",,"VIRAL HEPATITIS","32","0"
"2011","-",,"ACCIDENTS EXCEPT DRUG POISONING","272","2"
"2011","-",,"ALZHEIMERS DISEASE","89","1"
"2011","-",,"AORTIC ANEURYSM AND DISSECTION","44","0"
"2011","-",,"ASSAULT (HOMICIDE)","33","0"
"2011","-",,"ATHEROSCLEROSIS","29","0"
"2011","-",,"BENIGN AND UNCERTAIN NEOPLASMS","76","1"
"2011","-",,"CEREBROVASCULAR DISEASE","290","2"
"2011","-",,"CHRONIC LIVER DISEASE AND CIRRHOSIS","127","1"
"2011","-",,"CHRONIC LOWER RESPIRATORY DISEASES","444","4"
"2011","-",,"CONGENITAL MALFORMATIONS,DEFORMATIONS","55","0"
"2011","-",,"DIABETES MELLITUS","258","2"
"2011","-",,"DISEASES OF HEART","4220","35"
"2011","-",,"ESSENTIAL HYPERTENSION AND RENAL DISEASES","142","1"
"2011","-",,"HUMAN IMMUNODEFICIENCY VIRUS DISEASE","75","1"
"2011","-",,"INFLUENZA AND PNEUMONIA","646","5"
"2011","-",,"INTENTIONAL SELF-HARM (SUICIDE)","177","1"
"2011","-",,"MALIGNANT NEOPLASMS","3222","27"
"2011","-",,"MENTAL DISORDERS DUE TO USE OF ALCOHOL","60","0"
"2011","-",,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","89","1"
"2011","-",,"PARKINSONS DISEASE","77","1"
"2011","-",,"PEPTIC ULCER","21","0"
"2011","-",,"PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","254","2"
"2011","-",,"SEPTICEMIA","75","1"
"2011","-",,"SHORT GESTATION/LBW","15","0"
"2011","-",,"VIRAL HEPATITIS","76","1"
"2007","",,"ACCIDENTS EXCEPT DRUG POISONING","32","2"
"2007","",,"ALZHEIMERS DISEASE","7","1"
"2007","",,"AORTIC ANEURYSM AND DISSECTION","9","1"
"2007","",,"ASSAULT (HOMICIDE)","6","0"
"2007","",,"ATHEROSCLEROSIS","5","0"
"2007","",,"BENIGN AND UNCERTAIN NEOPLASMS","6","0"
"2007","",,"CEREBROVASCULAR DISEASE","70","5"
"2007","",,"CHRONIC LIVER DISEASE AND CIRRHOSIS","6","0"
"2007","",,"CHRONIC LOWER RESPIRATORY DISEASES","29","2"
"2007","",,"DIABETES MELLITUS","34","3"
"2007","",,"DISEASES OF HEART","428","33"
"2007","",,"ESSENTIAL HYPERTENSION AND RENAL DISEASES","22","2"
"2007","",,"INFLUENZA AND PNEUMONIA","58","5"
"2007","",,"INTENTIONAL SELF-HARM (SUICIDE)","22","2"
"2007","",,"MALIGNANT NEOPLASMS","396","31"
"2007","",,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","13","1"
"2007","",,"PARKINSONS DISEASE","5","0"
"2007","",,"PEPTIC ULCER","6","0"
"2007","",,"VIRAL HEPATITIS","7","1"
"2007","",,"ACCIDENTS EXCEPT DRUG POISONING","54","3"
"2007","",,"AORTIC ANEURYSM AND DISSECTION","5","0"
"2007","",,"BENIGN AND UNCERTAIN NEOPLASMS","9","1"
"2007","",,"CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD","5","0"
"2007","",,"CEREBROVASCULAR DISEASE","56","4"
"2007","",,"CHRONIC LIVER DISEASE AND CIRRHOSIS","18","1"
"2007","",,"CHRONIC LOWER RESPIRATORY DISEASES","43","3"
"2007","",,"CONGENITAL MALFORMATIONS,DEFORMATIONS","12","1"
"2007","",,"DIABETES MELLITUS","47","3"
"2007","",,"DISEASES OF HEART","497","31"
"2007","",,"ESSENTIAL HYPERTENSION AND RENAL DISEASES","25","2"
"2007","",,"INFLUENZA AND PNEUMONIA","68","4"
"2007","",,"INTENTIONAL SELF-HARM (SUICIDE)","38","2"
"2007","",,"MALIGNANT NEOPLASMS","528","33"
"2007","",,"MENTAL DISORDERS DUE TO USE OF ALCOHOL","11","1"
"2007","",,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","14","1"
"2007","",,"PEPTIC ULCER","5","0"
"2007","",,"PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","7","0"
"2007","",,"SEPTICEMIA","10","1"
"2007","",,"VIRAL HEPATITIS","12","1"
"2007","",,"ACCIDENTS EXCEPT DRUG POISONING","72","2"
"2007","",,"ALZHEIMERS DISEASE","43","1"
"2007","",,"AORTIC ANEURYSM AND DISSECTION","19","0"
"2007","",,"ASSAULT (HOMICIDE)","22","1"
"2007","",,"ATHEROSCLEROSIS","12","0"
"2007","",,"BENIGN AND UNCERTAIN NEOPLASMS","12","0"
"2007","",,"CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD","8","0"
"2007","",,"CEREBROVASCULAR DISEASE","164","4"
"2007","",,"CHOLELITHIASIS AND DISORDERS OF GALLBLADDER","9","0"
"2007","",,"CHRONIC LIVER DISEASE AND CIRRHOSIS","37","1"
"2007","",,"CHRONIC LOWER RESPIRATORY DISEASES","116","3"
"2007","",,"CONGENITAL MALFORMATIONS,DEFORMATIONS","28","1"
"2007","",,"DIABETES MELLITUS","205","5"
"2007","",,"DISEASES OF HEART","1418","34"
"2007","",,"ESSENTIAL HYPERTENSION AND RENAL DISEASES","78","2"
"2007","",,"HUMAN IMMUNODEFICIENCY VIRUS DISEASE","109","3"
"2007","",,"INFLUENZA AND PNEUMONIA","190","5"
"2007","",,"INTENTIONAL SELF-HARM (SUICIDE)","25","1"
"2007","",,"MALIGNANT NEOPLASMS","969","23"
"2007","",,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","45","1"
"2007","",,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM","8","0"
"2007","",,"PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","48","1"
"2007","",,"SEPTICEMIA","49","1"
"2007","",,"SHORT GESTATION/LBW","13","0"
"2007","",,"VIRAL HEPATITIS","37","1"
"2007","",,"ACCIDENTS EXCEPT DRUG POISONING","154","3"
"2007","",,"ALZHEIMERS DISEASE","11","0"
"2007","",,"AORTIC ANEURYSM AND DISSECTION","21","0"
"2007","",,"ASSAULT (HOMICIDE)","114","2"
"2007","",,"ATHEROSCLEROSIS","11","0"
"2007","",,"BENIGN AND UNCERTAIN NEOPLASMS","20","0"
"2007","",,"CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD","11","0"
"2007","",,"CEREBROVASCULAR DISEASE","126","3"
"2007","",,"CHRONIC LIVER DISEASE AND CIRRHOSIS","107","2"
"2007","",,"CHRONIC LOWER RESPIRATORY DISEASES","106","2"
"2007","",,"CONGENITAL MALFORMATIONS,DEFORMATIONS","29","1"
"2007","",,"DIABETES MELLITUS","177","4"
"2007","",,"DISEASES OF HEART","1327","29"
"2007","",,"ESSENTIAL HYPERTENSION AND RENAL DISEASES","76","2"
"2007","",,"HUMAN IMMUNODEFICIENCY VIRUS DISEASE","218","5"
"2007","",,"INFLUENZA AND PNEUMONIA","189","4"
"2007","",,"INTENTIONAL SELF-HARM (SUICIDE)","56","1"
"2007","",,"MALIGNANT NEOPLASMS","1013","22"
"2007","",,"MENTAL DISORDERS DUE TO USE OF ALCOHOL","56","1"
"2007","",,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","39","1"
"2007","",,"PARKINSONS DISEASE","7","0"
"2007","",,"PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","183","4"
"2007","",,"RESPIRATORY DISTRESS OF NEWBORN","7","0"
"2007","",,"SEPTICEMIA","31","1"
"2007","",,"SHORT GESTATION/LBW","13","0"
"2007","",,"VIRAL HEPATITIS","90","2"
"2007","-",,"ACCIDENTS EXCEPT DRUG POISONING","87","1"
"2007","-",,"ALZHEIMERS DISEASE","41","1"
"2007","-",,"ANEMIAS","18","0"
"2007","-",,"AORTIC ANEURYSM AND DISSECTION","25","0"
"2007","-",,"ASSAULT (HOMICIDE)","41","1"
"2007","-",,"ATHEROSCLEROSIS","30","0"
"2007","-",,"BENIGN AND UNCERTAIN NEOPLASMS","38","1"
"2007","-",,"CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD","16","0"
"2007","-",,"CEREBROVASCULAR DISEASE","279","4"
"2007","-",,"CHRONIC LIVER DISEASE AND CIRRHOSIS","33","0"
"2007","-",,"CHRONIC LOWER RESPIRATORY DISEASES","163","2"
"2007","-",,"CONGENITAL MALFORMATIONS,DEFORMATIONS","37","0"
"2007","-",,"DIABETES MELLITUS","358","5"
"2007","-",,"DISEASES OF HEART","2722","36"
"2007","-",,"ESSENTIAL HYPERTENSION AND RENAL DISEASES","166","2"
"2007","-",,"HUMAN IMMUNODEFICIENCY VIRUS DISEASE","248","3"
"2007","-",,"INFLUENZA AND PNEUMONIA","295","4"
"2007","-",,"INTENTIONAL SELF-HARM (SUICIDE)","20","0"
"2007","-",,"MALIGNANT NEOPLASMS","1800","24"
"2007","-",,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","80","1"
"2007","-",,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM","25","0"
"2007","-",,"PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","87","1"
"2007","-",,"SEPTICEMIA","89","1"
"2007","-",,"SHORT GESTATION/LBW","15","0"
"2007","-",,"VIRAL HEPATITIS","32","0"
"2007","-",,"ACCIDENTS EXCEPT DRUG POISONING","158","2"
"2007","-",,"ALZHEIMERS DISEASE","18","0"
"2007","-",,"ANEMIAS","19","0"
"2007","-",,"AORTIC ANEURYSM AND DISSECTION","33","0"
"2007","-",,"ASSAULT (HOMICIDE)","267","4"
"2007","-",,"ATHEROSCLEROSIS","29","0"
"2007","-",,"BENIGN AND UNCERTAIN NEOPLASMS","22","0"
"2007","-",,"CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD","24","0"
"2007","-",,"CEREBROVASCULAR DISEASE","213","3"
"2007","-",,"CHRONIC LIVER DISEASE AND CIRRHOSIS","78","1"
"2007","-",,"CHRONIC LOWER RESPIRATORY DISEASES","137","2"
"2007","-",,"CONGENITAL MALFORMATIONS,DEFORMATIONS","33","0"
"2007","-",,"DIABETES MELLITUS","246","4"
"2007","-",,"DISEASES OF HEART","2121","32"
"2007","-",,"ESSENTIAL HYPERTENSION AND RENAL DISEASES","137","2"
"2007","-",,"HUMAN IMMUNODEFICIENCY VIRUS DISEASE","377","6"
"2007","-",,"INFLUENZA AND PNEUMONIA","230","3"
"2007","-",,"INTENTIONAL SELF-HARM (SUICIDE)","58","1"
"2007","-",,"MALIGNANT NEOPLASMS","1523","23"
"2007","-",,"MENTAL DISORDERS DUE TO USE OF ALCOHOL","49","1"
"2007","-",,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","58","1"
"2007","-",,"PEPTIC ULCER","13","0"
"2007","-",,"PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","163","2"
"2007","-",,"SEPTICEMIA","67","1"
"2007","-",,"SHORT GESTATION/LBW","20","0"
"2007","-",,"VIRAL HEPATITIS","60","1"
"2007","-",,"ACCIDENTS EXCEPT DRUG POISONING","162","1"
"2007","-",,"ALZHEIMERS DISEASE","107","1"
"2007","-",,"AORTIC ANEURYSM AND DISSECTION","37","0"
"2007","-",,"ASSAULT (HOMICIDE)","12","0"
"2007","-",,"ATHEROSCLEROSIS","39","0"
"2007","-",,"BENIGN AND UNCERTAIN NEOPLASMS","60","0"
"2007","-",,"CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD","12","0"
"2007","-",,"CEREBROVASCULAR DISEASE","372","3"
"2007","-",,"CHOLELITHIASIS AND DISORDERS OF GALLBLADDER","18","0"
"2007","-",,"CHRONIC LIVER DISEASE AND CIRRHOSIS","54","0"
"2007","-",,"CHRONIC LOWER RESPIRATORY DISEASES","472","3"
"2007","-",,"CONGENITAL MALFORMATIONS,DEFORMATIONS","40","0"
"2007","-",,"DIABETES MELLITUS","231","2"
"2007","-",,"DISEASES OF HEART","7050","49"
"2007","-",,"ESSENTIAL HYPERTENSION AND RENAL DISEASES","155","1"
"2007","-",,"HUMAN IMMUNODEFICIENCY VIRUS DISEASE","40","0"
"2007","-",,"INFLUENZA AND PNEUMONIA","659","5"
"2007","-",,"INTENTIONAL SELF-HARM (SUICIDE)","64","0"
"2007","-",,"MALIGNANT NEOPLASMS","3519","24"
"2007","-",,"MENTAL DISORDERS DUE TO USE OF ALCOHOL","23","0"
"2007","-",,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","89","1"
