"ETHNICITY","SEX","CAUSE","YEAR_","COUNT_","PERCENT_"
"NON-HISPANIC BLACK","FEMALE","CHRONIC LOWER RESPIRATORY DISEASES","2007","163","2"
"NON-HISPANIC BLACK","FEMALE","CONGENITAL MALFORMATIONS,DEFORMATIONS","2007","37","0"
"NON-HISPANIC BLACK","FEMALE","DIABETES MELLITUS","2007","358","5"
"NON-HISPANIC BLACK","FEMALE","DISEASES OF HEART","2007","2722","36"
"NON-HISPANIC BLACK","FEMALE","ESSENTIAL HYPERTENSION AND RENAL DISEASES","2007","166","2"
"NON-HISPANIC BLACK","FEMALE","HUMAN IMMUNODEFICIENCY VIRUS DISEASE","2007","248","3"
"NON-HISPANIC BLACK","FEMALE","INFLUENZA AND PNEUMONIA","2007","295","4"
"NON-HISPANIC BLACK","FEMALE","INTENTIONAL SELF-HARM (SUICIDE)","2007","20","0"
"NON-HISPANIC BLACK","FEMALE","MALIGNANT NEOPLASMS","2007","1800","24"
"NON-HISPANIC BLACK","FEMALE","NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","2007","80","1"
"NON-HISPANIC BLACK","FEMALE","PREGNANCY, CHILDBIRTH AND THE PUERPERIUM","2007","25","0"
"NON-HISPANIC BLACK","FEMALE","PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","2007","87","1"
"NON-HISPANIC BLACK","FEMALE","SEPTICEMIA","2007","89","1"
"NON-HISPANIC BLACK","FEMALE","SHORT GESTATION/LBW","2007","15","0"
"NON-HISPANIC BLACK","FEMALE","VIRAL HEPATITIS","2007","32","0"
"NON-HISPANIC BLACK","MALE","ACCIDENTS EXCEPT DRUG POISONING","2007","158","2"
"NON-HISPANIC BLACK","MALE","ALZHEIMERS DISEASE","2007","18","0"
"NON-HISPANIC BLACK","MALE","ANEMIAS","2007","19","0"
"NON-HISPANIC BLACK","MALE","AORTIC ANEURYSM AND DISSECTION","2007","33","0"
"NON-HISPANIC BLACK","MALE","ASSAULT (HOMICIDE)","2007","267","4"
"NON-HISPANIC BLACK","MALE","ATHEROSCLEROSIS","2007","29","0"
"NON-HISPANIC BLACK","MALE","BENIGN AND UNCERTAIN NEOPLASMS","2007","22","0"
"NON-HISPANIC BLACK","MALE","CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD","2007","24","0"
"NON-HISPANIC BLACK","MALE","CEREBROVASCULAR DISEASE","2007","213","3"
"NON-HISPANIC BLACK","MALE","CHRONIC LIVER DISEASE AND CIRRHOSIS","2007","78","1"
"NON-HISPANIC BLACK","MALE","CHRONIC LOWER RESPIRATORY DISEASES","2007","137","2"
"NON-HISPANIC BLACK","MALE","CONGENITAL MALFORMATIONS,DEFORMATIONS","2007","33","0"
"NON-HISPANIC BLACK","MALE","DIABETES MELLITUS","2007","246","4"
"NON-HISPANIC BLACK","MALE","DISEASES OF HEART","2007","2121","32"
"NON-HISPANIC BLACK","MALE","ESSENTIAL HYPERTENSION AND RENAL DISEASES","2007","137","2"
"NON-HISPANIC BLACK","MALE","HUMAN IMMUNODEFICIENCY VIRUS DISEASE","2007","377","6"
"NON-HISPANIC BLACK","MALE","INFLUENZA AND PNEUMONIA","2007","230","3"
"NON-HISPANIC BLACK","MALE","INTENTIONAL SELF-HARM (SUICIDE)","2007","58","1"
"NON-HISPANIC BLACK","MALE","MALIGNANT NEOPLASMS","2007","1523","23"
"NON-HISPANIC BLACK","MALE","MENTAL DISORDERS DUE TO USE OF ALCOHOL","2007","49","1"
"NON-HISPANIC BLACK","MALE","NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","2007","58","1"
"NON-HISPANIC BLACK","MALE","PEPTIC ULCER","2007","13","0"
"NON-HISPANIC BLACK","MALE","PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","2007","163","2"
"NON-HISPANIC BLACK","MALE","SEPTICEMIA","2007","67","1"
"NON-HISPANIC BLACK","MALE","SHORT GESTATION/LBW","2007","20","0"
"NON-HISPANIC BLACK","MALE","VIRAL HEPATITIS","2007","60","1"
"NON-HISPANIC WHITE","FEMALE","ACCIDENTS EXCEPT DRUG POISONING","2007","162","1"
"NON-HISPANIC WHITE","FEMALE","ALZHEIMERS DISEASE","2007","107","1"
"NON-HISPANIC WHITE","FEMALE","AORTIC ANEURYSM AND DISSECTION","2007","37","0"
"NON-HISPANIC WHITE","FEMALE","ASSAULT (HOMICIDE)","2007","12","0"
"NON-HISPANIC WHITE","FEMALE","ATHEROSCLEROSIS","2007","39","0"
"NON-HISPANIC WHITE","FEMALE","BENIGN AND UNCERTAIN NEOPLASMS","2007","60","0"
"NON-HISPANIC WHITE","FEMALE","CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD","2007","12","0"
"NON-HISPANIC WHITE","FEMALE","CEREBROVASCULAR DISEASE","2007","372","3"
"NON-HISPANIC WHITE","FEMALE","CHOLELITHIASIS AND DISORDERS OF GALLBLADDER","2007","18","0"
"NON-HISPANIC WHITE","FEMALE","CHRONIC LIVER DISEASE AND CIRRHOSIS","2007","54","0"
"NON-HISPANIC WHITE","FEMALE","CHRONIC LOWER RESPIRATORY DISEASES","2007","472","3"
"NON-HISPANIC WHITE","FEMALE","CONGENITAL MALFORMATIONS,DEFORMATIONS","2007","40","0"
"NON-HISPANIC WHITE","FEMALE","DIABETES MELLITUS","2007","231","2"
"NON-HISPANIC WHITE","FEMALE","DISEASES OF HEART","2007","7050","49"
"NON-HISPANIC WHITE","FEMALE","ESSENTIAL HYPERTENSION AND RENAL DISEASES","2007","155","1"
"NON-HISPANIC WHITE","FEMALE","HUMAN IMMUNODEFICIENCY VIRUS DISEASE","2007","40","0"
"NON-HISPANIC WHITE","FEMALE","INFLUENZA AND PNEUMONIA","2007","659","5"
"NON-HISPANIC WHITE","FEMALE","INTENTIONAL SELF-HARM (SUICIDE)","2007","64","0"
"NON-HISPANIC WHITE","FEMALE","MALIGNANT NEOPLASMS","2007","3519","24"
"NON-HISPANIC WHITE","FEMALE","MENTAL DISORDERS DUE TO USE OF ALCOHOL","2007","23","0"
"NON-HISPANIC WHITE","FEMALE","NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","2007","89","1"
"NON-HISPANIC WHITE","FEMALE","PARKINSONS DISEASE","2007","35","0"
"NON-HISPANIC WHITE","FEMALE","PEPTIC ULCER","2007","28","0"
"NON-HISPANIC WHITE","FEMALE","PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","2007","85","1"
"NON-HISPANIC WHITE","FEMALE","SEPTICEMIA","2007","79","1"
"NON-HISPANIC WHITE","FEMALE","SHORT GESTATION/LBW","2007","12","0"
"NON-HISPANIC WHITE","FEMALE","VIRAL HEPATITIS","2007","36","0"
"NON-HISPANIC WHITE","MALE","ACCIDENTS EXCEPT DRUG POISONING","2007","297","2"
"NON-HISPANIC WHITE","MALE","ALZHEIMERS DISEASE","2007","49","0"
"NON-HISPANIC WHITE","MALE","AORTIC ANEURYSM AND DISSECTION","2007","73","1"
"NON-HISPANIC WHITE","MALE","ASSAULT (HOMICIDE)","2007","41","0"
"NON-HISPANIC WHITE","MALE","ATHEROSCLEROSIS","2007","45","0"
"NON-HISPANIC WHITE","MALE","BENIGN AND UNCERTAIN NEOPLASMS","2007","75","1"
"NON-HISPANIC WHITE","MALE","CEREBROVASCULAR DISEASE","2007","267","2"
"NON-HISPANIC WHITE","MALE","CHRONIC LIVER DISEASE AND CIRRHOSIS","2007","112","1"
"NON-HISPANIC WHITE","MALE","CHRONIC LOWER RESPIRATORY DISEASES","2007","345","3"
"NON-HISPANIC WHITE","MALE","CONGENITAL MALFORMATIONS,DEFORMATIONS","2007","53","0"
"NON-HISPANIC WHITE","MALE","DIABETES MELLITUS","2007","237","2"
"NON-HISPANIC WHITE","MALE","DISEASES OF HEART","2007","5632","43"
"NON-HISPANIC WHITE","MALE","ESSENTIAL HYPERTENSION AND RENAL DISEASES","2007","123","1"
"NON-HISPANIC WHITE","MALE","HUMAN IMMUNODEFICIENCY VIRUS DISEASE","2007","103","1"
"NON-HISPANIC WHITE","MALE","INFLUENZA AND PNEUMONIA","2007","530","4"
"NON-HISPANIC WHITE","MALE","INTENTIONAL SELF-HARM (SUICIDE)","2007","187","1"
"NON-HISPANIC WHITE","MALE","MALIGNANT NEOPLASMS","2007","3356","26"
"NON-HISPANIC WHITE","MALE","MENTAL DISORDERS DUE TO USE OF ALCOHOL","2007","72","1"
"NON-HISPANIC WHITE","MALE","NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","2007","92","1"
"NON-HISPANIC WHITE","MALE","PARKINSONS DISEASE","2007","53","0"
"NON-HISPANIC WHITE","MALE","PEPTIC ULCER","2007","19","0"
"NON-HISPANIC WHITE","MALE","PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","2007","261","2"
"NON-HISPANIC WHITE","MALE","SEPTICEMIA","2007","62","0"
"NON-HISPANIC WHITE","MALE","SHORT GESTATION/LBW","2007","19","0"
"NON-HISPANIC WHITE","MALE","VIRAL HEPATITIS","2007","83","1"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","ACCIDENTS EXCEPT DRUG POISONING","2008","37","3"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","ATHEROSCLEROSIS","2008","10","1"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","BENIGN AND UNCERTAIN NEOPLASMS","2008","9","1"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","CEREBROVASCULAR DISEASE","2008","65","5"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","CHOLELITHIASIS AND DISORDERS OF GALLBLADDER","2008","6","0"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","CHRONIC LIVER DISEASE AND CIRRHOSIS","2008","6","0"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","CHRONIC LOWER RESPIRATORY DISEASES","2008","30","2"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","CONGENITAL MALFORMATIONS,DEFORMATIONS","2008","7","1"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","DIABETES MELLITUS","2008","47","4"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","DISEASES OF HEART","2008","456","34"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","ESSENTIAL HYPERTENSION AND RENAL DISEASES","2008","32","2"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","INFLUENZA AND PNEUMONIA","2008","73","5"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","INTENTIONAL SELF-HARM (SUICIDE)","2008","26","2"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","MALIGNANT NEOPLASMS","2008","346","26"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","2008","14","1"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","PREGNANCY, CHILDBIRTH AND THE PUERPERIUM","2008","5","0"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","SEPTICEMIA","2008","10","1"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","VIRAL HEPATITIS","2008","9","1"
"ASIAN  and  PACIFIC ISLANDER","MALE","ACCIDENTS EXCEPT DRUG POISONING","2008","54","3"
"ASIAN  and  PACIFIC ISLANDER","MALE","AORTIC ANEURYSM AND DISSECTION","2008","5","0"
"ASIAN  and  PACIFIC ISLANDER","MALE","ASSAULT (HOMICIDE)","2008","14","1"
"ASIAN  and  PACIFIC ISLANDER","MALE","ATHEROSCLEROSIS","2008","8","0"
"ASIAN  and  PACIFIC ISLANDER","MALE","BENIGN AND UNCERTAIN NEOPLASMS","2008","8","0"
"ASIAN  and  PACIFIC ISLANDER","MALE","CEREBROVASCULAR DISEASE","2008","48","3"
"ASIAN  and  PACIFIC ISLANDER","MALE","CHRONIC LIVER DISEASE AND CIRRHOSIS","2008","13","1"
"ASIAN  and  PACIFIC ISLANDER","MALE","CHRONIC LOWER RESPIRATORY DISEASES","2008","46","3"
"ASIAN  and  PACIFIC ISLANDER","MALE","CONGENITAL MALFORMATIONS,DEFORMATIONS","2008","14","1"
"ASIAN  and  PACIFIC ISLANDER","MALE","DIABETES MELLITUS","2008","52","3"
"ASIAN  and  PACIFIC ISLANDER","MALE","DISEASES OF HEART","2008","546","33"
"ASIAN  and  PACIFIC ISLANDER","MALE","ESSENTIAL HYPERTENSION AND RENAL DISEASES","2008","31","2"
"ASIAN  and  PACIFIC ISLANDER","MALE","HUMAN IMMUNODEFICIENCY VIRUS DISEASE","2008","7","0"
"ASIAN  and  PACIFIC ISLANDER","MALE","INFLUENZA AND PNEUMONIA","2008","90","6"
"ASIAN  and  PACIFIC ISLANDER","MALE","INTENTIONAL SELF-HARM (SUICIDE)","2008","30","2"
"ASIAN  and  PACIFIC ISLANDER","MALE","MALIGNANT NEOPLASMS","2008","477","29"
"ASIAN  and  PACIFIC ISLANDER","MALE","MENTAL DISORDERS DUE TO USE OF ALCOHOL","2008","5","0"
"ASIAN  and  PACIFIC ISLANDER","MALE","NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","2008","14","1"
"ASIAN  and  PACIFIC ISLANDER","MALE","PARKINSONS DISEASE","2008","7","0"
"ASIAN  and  PACIFIC ISLANDER","MALE","SEPTICEMIA","2008","5","0"
"ASIAN  and  PACIFIC ISLANDER","MALE","VIRAL HEPATITIS","2008","11","1"
"HISPANIC","FEMALE","ACCIDENTS EXCEPT DRUG POISONING","2008","68","2"
"HISPANIC","FEMALE","ALZHEIMERS DISEASE","2008","61","1"
"HISPANIC","FEMALE","AORTIC ANEURYSM AND DISSECTION","2008","9","0"
"HISPANIC","FEMALE","ASSAULT (HOMICIDE)","2008","25","1"
"HISPANIC","FEMALE","ATHEROSCLEROSIS","2008","16","0"
"HISPANIC","FEMALE","BENIGN AND UNCERTAIN NEOPLASMS","2008","12","0"
"HISPANIC","FEMALE","CEREBROVASCULAR DISEASE","2008","152","3"
"HISPANIC","FEMALE","CHRONIC LIVER DISEASE AND CIRRHOSIS","2008","63","1"
"HISPANIC","FEMALE","CHRONIC LOWER RESPIRATORY DISEASES","2008","156","3"
"HISPANIC","FEMALE","CONGENITAL MALFORMATIONS,DEFORMATIONS","2008","36","1"
"HISPANIC","FEMALE","DIABETES MELLITUS","2008","228","5"
"HISPANIC","FEMALE","DISEASES OF HEART","2008","1445","32"
"HISPANIC","FEMALE","ESSENTIAL HYPERTENSION AND RENAL DISEASES","2008","104","2"
"HISPANIC","FEMALE","HUMAN IMMUNODEFICIENCY VIRUS DISEASE","2008","113","3"
"HISPANIC","FEMALE","INFLUENZA AND PNEUMONIA","2008","227","5"
"HISPANIC","FEMALE","INTENTIONAL SELF-HARM (SUICIDE)","2008","18","0"
"HISPANIC","FEMALE","MALIGNANT NEOPLASMS","2008","1046","23"
"HISPANIC","FEMALE","NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","2008","47","1"
"HISPANIC","FEMALE","PARKINSONS DISEASE","2008","13","0"
"HISPANIC","FEMALE","PNEUMONITIS DUE TO SOLIDS AND LIQUIDS","2008","8","0"
"HISPANIC","FEMALE","PREGNANCY, CHILDBIRTH AND THE PUERPERIUM","2008","9","0"
"HISPANIC","FEMALE","PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","2008","43","1"
"HISPANIC","FEMALE","SEPTICEMIA","2008","34","1"
"HISPANIC","FEMALE","SHORT GESTATION/LBW","2008","12","0"
"HISPANIC","FEMALE","VIRAL HEPATITIS","2008","51","1"
"HISPANIC","MALE","ACCIDENTS EXCEPT DRUG POISONING","2008","186","4"
"HISPANIC","MALE","ALZHEIMERS DISEASE","2008","15","0"
"HISPANIC","MALE","ANEMIAS","2008","8","0"
"HISPANIC","MALE","AORTIC ANEURYSM AND DISSECTION","2008","13","0"
"HISPANIC","MALE","ASSAULT (HOMICIDE)","2008","119","2"
"HISPANIC","MALE","BENIGN AND UNCERTAIN NEOPLASMS","2008","9","0"
"HISPANIC","MALE","CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD","2008","13","0"
"HISPANIC","MALE","CEREBROVASCULAR DISEASE","2008","124","3"
"HISPANIC","MALE","CHRONIC LIVER DISEASE AND CIRRHOSIS","2008","149","3"
"HISPANIC","MALE","CHRONIC LOWER RESPIRATORY DISEASES","2008","132","3"
"HISPANIC","MALE","CONGENITAL MALFORMATIONS,DEFORMATIONS","2008","50","1"
"HISPANIC","MALE","DIABETES MELLITUS","2008","191","4"
"HISPANIC","MALE","DISEASES OF HEART","2008","1330","27"
"HISPANIC","MALE","ESSENTIAL HYPERTENSION AND RENAL DISEASES","2008","70","1"
"HISPANIC","MALE","HUMAN IMMUNODEFICIENCY VIRUS DISEASE","2008","222","5"
"HISPANIC","MALE","INFLUENZA AND PNEUMONIA","2008","187","4"
"HISPANIC","MALE","INTENTIONAL SELF-HARM (SUICIDE)","2008","70","1"
"HISPANIC","MALE","MALIGNANT NEOPLASMS","2008","1080","22"
"HISPANIC","MALE","MENTAL DISORDERS DUE TO USE OF ALCOHOL","2008","48","1"
"HISPANIC","MALE","NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","2008","28","1"
"HISPANIC","MALE","PARKINSONS DISEASE","2008","19","0"
"HISPANIC","MALE","PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","2008","172","4"
"NON-HISPANIC BLACK","MALE","HUMAN IMMUNODEFICIENCY VIRUS DISEASE","2010","297","5"
"NON-HISPANIC BLACK","MALE","INFLUENZA AND PNEUMONIA","2010","201","3"
"NON-HISPANIC BLACK","MALE","INTENTIONAL SELF-HARM (SUICIDE)","2010","64","1"
"NON-HISPANIC BLACK","MALE","MALIGNANT NEOPLASMS","2010","1540","23"
"NON-HISPANIC BLACK","MALE","MENTAL DISORDERS DUE TO USE OF ALCOHOL","2010","50","1"
"NON-HISPANIC BLACK","MALE","NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","2010","70","1"
"NON-HISPANIC BLACK","MALE","PEPTIC ULCER","2010","13","0"
"NON-HISPANIC BLACK","MALE","PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","2010","111","2"
"NON-HISPANIC BLACK","MALE","SEPTICEMIA","2010","36","1"
"NON-HISPANIC BLACK","MALE","SHORT GESTATION/LBW","2010","35","1"
"NON-HISPANIC BLACK","MALE","VIRAL HEPATITIS","2010","49","1"
"NON-HISPANIC WHITE","FEMALE","ACCIDENTS EXCEPT DRUG POISONING","2010","164","1"
"NON-HISPANIC WHITE","FEMALE","ALZHEIMERS DISEASE","2010","247","2"
"NON-HISPANIC WHITE","FEMALE","AORTIC ANEURYSM AND DISSECTION","2010","22","0"
"NON-HISPANIC WHITE","FEMALE","ATHEROSCLEROSIS","2010","74","1"
"NON-HISPANIC WHITE","FEMALE","BENIGN AND UNCERTAIN NEOPLASMS","2010","69","1"
"NON-HISPANIC WHITE","FEMALE","CEREBROVASCULAR DISEASE","2010","382","3"
"NON-HISPANIC WHITE","FEMALE","CHOLELITHIASIS AND DISORDERS OF GALLBLADDER","2010","19","0"
"NON-HISPANIC WHITE","FEMALE","CHRONIC LIVER DISEASE AND CIRRHOSIS","2010","67","0"
"NON-HISPANIC WHITE","FEMALE","CHRONIC LOWER RESPIRATORY DISEASES","2010","502","4"
"NON-HISPANIC WHITE","FEMALE","CONGENITAL MALFORMATIONS,DEFORMATIONS","2010","32","0"
"NON-HISPANIC WHITE","FEMALE","DIABETES MELLITUS","2010","258","2"
"NON-HISPANIC WHITE","FEMALE","DISEASES OF HEART","2010","5351","40"
"NON-HISPANIC WHITE","FEMALE","ESSENTIAL HYPERTENSION AND RENAL DISEASES","2010","219","2"
"NON-HISPANIC WHITE","FEMALE","HUMAN IMMUNODEFICIENCY VIRUS DISEASE","2010","24","0"
"NON-HISPANIC WHITE","FEMALE","INFLUENZA AND PNEUMONIA","2010","707","5"
"NON-HISPANIC WHITE","FEMALE","INTENTIONAL SELF-HARM (SUICIDE)","2010","61","0"
"NON-HISPANIC WHITE","FEMALE","MALIGNANT NEOPLASMS","2010","3438","25"
"NON-HISPANIC WHITE","FEMALE","MENTAL DISORDERS DUE TO USE OF ALCOHOL","2010","16","0"
"NON-HISPANIC WHITE","FEMALE","NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","2010","90","1"
"NON-HISPANIC WHITE","FEMALE","PARKINSONS DISEASE","2010","55","0"
"NON-HISPANIC WHITE","FEMALE","PEPTIC ULCER","2010","22","0"
"NON-HISPANIC WHITE","FEMALE","PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","2010","75","1"
"NON-HISPANIC WHITE","FEMALE","SEPTICEMIA","2010","107","1"
"NON-HISPANIC WHITE","FEMALE","SHORT GESTATION/LBW","2010","14","0"
"NON-HISPANIC WHITE","FEMALE","VIRAL HEPATITIS","2010","32","0"
"NON-HISPANIC WHITE","MALE","ACCIDENTS EXCEPT DRUG POISONING","2010","272","2"
"NON-HISPANIC WHITE","MALE","ALZHEIMERS DISEASE","2010","94","1"
"NON-HISPANIC WHITE","MALE","AORTIC ANEURYSM AND DISSECTION","2010","49","0"
"NON-HISPANIC WHITE","MALE","ASSAULT (HOMICIDE)","2010","25","0"
"NON-HISPANIC WHITE","MALE","ATHEROSCLEROSIS","2010","46","0"
"NON-HISPANIC WHITE","MALE","BENIGN AND UNCERTAIN NEOPLASMS","2010","91","1"
"NON-HISPANIC WHITE","MALE","CEREBROVASCULAR DISEASE","2010","276","2"
"NON-HISPANIC WHITE","MALE","CHRONIC LIVER DISEASE AND CIRRHOSIS","2010","110","1"
"NON-HISPANIC WHITE","MALE","CHRONIC LOWER RESPIRATORY DISEASES","2010","388","3"
"NON-HISPANIC WHITE","MALE","CONGENITAL MALFORMATIONS,DEFORMATIONS","2010","33","0"
"NON-HISPANIC WHITE","MALE","DIABETES MELLITUS","2010","245","2"
"NON-HISPANIC WHITE","MALE","DISEASES OF HEART","2010","4495","37"
"NON-HISPANIC WHITE","MALE","ESSENTIAL HYPERTENSION AND RENAL DISEASES","2010","153","1"
"NON-HISPANIC WHITE","MALE","HUMAN IMMUNODEFICIENCY VIRUS DISEASE","2010","76","1"
"NON-HISPANIC WHITE","MALE","INFLUENZA AND PNEUMONIA","2010","614","5"
"NON-HISPANIC WHITE","MALE","INTENTIONAL SELF-HARM (SUICIDE)","2010","182","1"
"NON-HISPANIC WHITE","MALE","MALIGNANT NEOPLASMS","2010","3408","28"
"NON-HISPANIC WHITE","MALE","MENTAL DISORDERS DUE TO USE OF ALCOHOL","2010","57","0"
"NON-HISPANIC WHITE","MALE","NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS","2010","119","1"
"NON-HISPANIC WHITE","MALE","PARKINSONS DISEASE","2010","79","1"
"NON-HISPANIC WHITE","MALE","PEPTIC ULCER","2010","19","0"
"NON-HISPANIC WHITE","MALE","PSYCH. SUBSTANCE USE  and  ACCIDENTAL DRUG POISONING","2010","211","2"
"NON-HISPANIC WHITE","MALE","SEPTICEMIA","2010","74","1"
"NON-HISPANIC WHITE","MALE","SHORT GESTATION/LBW","2010","14","0"
"NON-HISPANIC WHITE","MALE","VIRAL HEPATITIS","2010","82","1"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","ACCIDENTS EXCEPT DRUG POISONING","2011","44","3"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","ALZHEIMERS DISEASE","2011","24","2"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","ANEMIAS","2011","5","0"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","ASSAULT (HOMICIDE)","2011","6","0"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","BENIGN AND UNCERTAIN NEOPLASMS","2011","11","1"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","CEREBROVASCULAR DISEASE","2011","98","6"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","CHOLELITHIASIS AND DISORDERS OF GALLBLADDER","2011","6","0"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","CHRONIC LIVER DISEASE AND CIRRHOSIS","2011","10","1"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","CHRONIC LOWER RESPIRATORY DISEASES","2011","30","2"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","CONGENITAL MALFORMATIONS,DEFORMATIONS","2011","7","0"
"ASIAN  and  PACIFIC ISLANDER","FEMALE","DIABETES MELLITUS","2011","51","3"
